CatÃ©gorieÂ : Toutes catÃ©gories

Mois,canicule: (ÃŽle-de-France)
2016-01,0.5
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,2
2016-07,7
2016-08,15
2016-09,1
2016-10, 0.5
2016-11,0.5
2016-12,0.5
2017-01,1
2017-02,1
2017-03,1
2017-04,1
2017-05,2
2017-06,31
2017-07,4
2017-08,5
2017-09,1
2017-10,0.5
2017-11,0.5
2017-12,0.5
2018-01,1
2018-02,1
2018-03,1
2018-04,1
2018-05,1
2018-06,3
2018-07,23
2018-08,24
2018-09,1
2018-10,1
2018-11,1
2018-12,1
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,100
2019-07,60
2019-08,7
2019-09,2
2019-10,1
2019-11,1
2019-12,1
2020-01,1
2020-02,1
2020-03,7
2020-04,7
2020-05,4
2020-06,7
2020-07,8
2020-08,34
2020-09,2
2020-10,1
2020-11,1
2020-12,1
2021-01,1
2021-02,1
2021-03,1
2021-04,1
2021-05,2
2021-06,6
2021-07,6
2021-08,4
2021-09,1
2021-10,2
2021-11,1
2021-12,1
2022-01,1
2022-02,1
2022-03,1
2022-04,1
2022-05,4
2022-06,38
2022-07,45
2022-08,15
2022-09,2
2022-10,1
2022-11,1
2022-12,1
2023-01,1
2023-02,1
2023-03,1
2023-04,4
2023-05,3
2023-06,10
2023-07,13
2023-08,21
2023-09,10
2023-10,1
2023-11,1
2023-12,1
2024-01,1
2024-02,1
2024-03,2
2024-04,2
2024-05,3
2024-06,6
2024-07,13
2024-08,48
2024-09,2
2024-10,2
2024-11,2
2024-12,1
